Review,Rating,Cleaned_Review,VADER_Compound,VADER_Positive,VADER_Negative,VADER_Neutral,Sentiment
"Disney's live-action Snow White is finally here, and after watching it, I can confidently say that the Magic Mirror needs a new prescription. This movie is less ""fairest of them all"" and more ""fairest at failing upwards."" If you ever wondered what it would look like if someone took the classic 1937 animated masterpiece, ran it through a corporate buzzword generator, and then tossed in some awkward CGI for good measure-congratulations, you've found your answer!

A Princess with a Personality (Kind Of?)

Rachel Zegler takes on the role of Snow White, though you'd be forgiven for thinking she was actually playing a medieval TED Talk speaker. Instead of the wide-eyed, kind-hearted princess we all knew, this Snow White is a Strong Independent Woman™-because saying ""I want to be a queen, not a bride"" apparently counts as character development these days. That's right, folks, forget charming dwarfs, woodland creatures, or actual chemistry with anyone; this Snow White has dreams, and she's here to remind you about them every five minutes.

But despite all that, her biggest challenge in the movie isn't even the Evil Queen-it's keeping the audience awake.

Gal Gadot: Evil Queen or Instagram Influencer?

Now, let's talk about Gal Gadot's Evil Queen. You'd think that playing a narcissistic, beauty-obsessed villain would be an easy fit for Hollywood, but somehow, even with all the pouting, dress-swishing, and over-the-top glowering, she ends up about as menacing as a fashion blogger with a bad attitude.

Her obsession with being ""the fairest of them all"" is laughable when you realize that, well... she already is the fairest of them all. No offense to Snow White, but if the mirror told me that Gal Gadot wasn't the hottest person in the kingdom, I'd be smashing that thing to pieces too. The real villain here is the mirror's manufacturer.

The Dwarfs: Now with 90% Less Dwarfs!

Ah yes, the seven dwarfs-except, surprise! They're not really dwarfs anymore. Instead, we get a diverse group of CGI-enhanced ""magical creatures"" who look like they were rejected from The Lord of the Rings for being too unsettling. Imagine if a bunch of carnival performers got stuck in a blender with bad CGI, and you've got these guys.

Their role in the movie? Mostly to exist, deliver unfunny one-liners, and make you wonder if we should start a petition to bring back actual actors instead of whatever motion-capture madness this is. If I wanted to spend two hours looking at weirdly animated characters, I'd just play a bad video game.

The Apple Fiasco

We all know the story: Evil Queen poisons apple, Snow White eats apple, Snow White falls into a death nap, and then a prince shows up to wake her with true love's kiss. Simple, right? Nope. Not in this version.

Instead, we get a long, drawn-out scene where Snow White almost eats the apple, but then stops to give another speech about believing in yourself or some nonsense. And when she does finally bite it, the whole moment is ruined by some weird slow-motion effects that make it look like an overly dramatic shampoo commercial.

Honestly, I was rooting for the apple at that point. Maybe if she stayed in an enchanted coma, we'd all be spared another unnecessary Disney remake.

Final Verdict: The Fairest Disaster of Them All

This movie is what happens when you take a beloved classic, strip away everything that made it charming, and replace it with corporate-approved ""modernization"" that pleases no one. It's a film that wants to be empowering, but instead feels like a checklist of forced inclusivity and soulless spectacle.

Snow White (2025) is proof that sometimes, it's better to leave well enough alone. If you're looking for magic, wonder, and nostalgia, just rewatch the 1937 version. If you're looking for two hours of your life you'll never get back, then by all means, go ahead and buy a ticket.",1/10,disney snow white final watch confid say magic mirror need new prescript movi less fairest fairest fail upward ever wonder would look like someon took classic anim masterpiec ran corpor buzzword gener toss awkward cgi good found answer princess person kind rachel zegler take role snow white though forgiven think actual play mediev ted talk speaker instead princess knew snow white strong independ say want queen bride appar count charact develop day right folk forget charm dwarf woodland creatur actual chemistri anyon snow white dream remind everi five minut despit biggest challeng movi even evil keep audienc awak gal gadot evil queen instagram influenc let talk gal gadot evil queen think play narcissist villain would easi fit hollywood somehow even pout glower end menac fashion blogger bad attitud obsess fairest laughabl realiz well alreadi fairest offens snow white mirror told gal gadot hottest person kingdom smash thing piec real villain mirror manufactur dwarf less dwarf ah ye seven surpris realli dwarf anymor instead get divers group magic creatur look like reject lord ring unsettl imagin bunch carniv perform got stuck blender bad cgi got guy role movi mostli exist deliv unfunni make wonder start petit bring back actual actor instead whatev mad want spend two hour look weirdli anim charact play bad video game appl fiasco know stori evil queen poison appl snow white eat appl snow white fall death nap princ show wake true love kiss simpl right nope version instead get long scene snow white almost eat appl stop give anoth speech believ nonsens final bite whole moment ruin weird effect make look like overli dramat shampoo commerci honestli root appl point mayb stay enchant coma spare anoth unnecessari disney remak final verdict fairest disast movi happen take belov classic strip away everyth made charm replac modern pleas one film want empow instead feel like checklist forc inclus soulless spectacl snow white proof sometim better leav well enough alon look magic wonder nostalgia rewatch version look two hour life never get back mean go ahead buy ticket,-0.9466,0.146,0.165,0.689,Negative
"As always, whenever there's a negative hype around a movie, my mindset is always, prove them wrong, give it a chance.

It's diabolical, honestly, I can't understand how so much money and so much time has gone into this, the final result is cringe worthy. It is an absolute shocker, I am stumped to find any positives.

It looks and feels so artificial, the sets, the animals, as for The Dwarves themselves, I have no words to express my feelings there.

The biggest catastrophe, not what I was expecting if I'm honest, the worst offender, Gal Gadot, she looks sensational, but her performance, she's going to scoop some unwanted awards it's fair to say.

What I wasn't expecting, was just how poor the costumes would look on screen, Snow White's just doesn't translate very well, the hairstyle, what were they thinking?

Disney, what on Earth have you done?

1/10.",1/10,alway whenev neg hype around movi mindset alway prove wrong give chanc diabol honestli ca understand much money much time gone final result cring worthi absolut shocker stump find posit look feel artifici set anim dwarf word express feel biggest catastroph expect honest worst offend gal gadot look sensat perform go scoop unwant award fair say expect poor costum would look screen snow white translat well hairstyl think disney earth done,-0.3182,0.146,0.16,0.694,Negative
"Disney's latest live-action remake, Snow White (2025), is yet another attempt to cash in on nostalgia, but unfortunately, it falls flat in almost every regard. From lackluster performances to subpar CGI, this film struggles to capture the magic of the original classic.

Rachel Zegler: A Miscast Lead

Rachel Zegler, who takes on the iconic role of Snow White, delivers a performance that feels stiff and uninspired. While she undeniably has a strong singing voice, her acting lacks the warmth and charm that made the animated Snow White so beloved. Her line delivery often comes off as forced, and she struggles to bring emotional depth to the character. Instead of exuding the innocence and kindness associated with Snow White, her portrayal feels distant and, at times, even disengaged.

Weak CGI and Bland Visuals

For a film with Disney's budget, the CGI is shockingly subpar. The enchanted forest, which should have felt lush and immersive, looks artificial, and the CGI creatures lack the expressiveness and charm of their animated counterparts. The dwarfs-who have been controversially reimagined-look awkward and unnatural, making it hard to emotionally invest in their presence. The visual effects in Snow White feel rushed, and instead of enhancing the experience, they serve as a constant distraction.

Music: Strong Vocals, Forgettable Songs

If there's one aspect where the film slightly shines, it's Zegler's singing. She undeniably has a beautiful voice, and her vocal performances are solid. However, the new songs she's given are bland and unmemorable, failing to capture the whimsy and timeless appeal of the original soundtrack. Unlike Beauty and the Beast or The Little Mermaid, which at least had a few standout musical moments, Snow White's soundtrack feels generic and uninspired.

Conclusion: A Missed Opportunity

Ultimately, Snow White is another soulless live-action remake that lacks the heart and magic of the original. While Zegler's singing is a bright spot, her acting, coupled with bad CGI and uninspired musical numbers, makes this adaptation feel unnecessary. Disney had an opportunity to bring a fresh and captivating take on Snow White, but instead, they delivered a forgettable and lackluster film. Fans of the original will likely leave disappointed, longing for the charm and artistry that made the 1937 classic a masterpiece.",1/10,disney latest remak snow white yet anoth attempt cash nostalgia unfortun fall flat almost everi regard lacklust perform subpar cgi film struggl captur magic origin classic rachel zegler miscast lead rachel zegler take icon role snow white deliv perform feel stiff uninspir undeni strong sing voic act lack warmth charm made anim snow white belov line deliveri often come forc struggl bring emot depth charact instead exud innoc kind associ snow white portray feel distant time even disengag weak cgi bland visual film disney budget cgi shockingli subpar enchant forest felt lush immers look artifici cgi creatur lack express charm anim counterpart controversi awkward unnatur make hard emot invest presenc visual effect snow white feel rush instead enhanc experi serv constant distract music strong vocal forgett song one aspect film slightli shine zegler sing undeni beauti voic vocal perform solid howev new song given bland unmemor fail captur whimsi timeless appeal origin soundtrack unlik beauti beast littl mermaid least standout music moment snow white soundtrack feel gener uninspir conclus miss opportun ultim snow white anoth soulless remak lack heart magic origin zegler sing bright spot act coupl bad cgi uninspir music number make adapt feel unnecessari disney opportun bring fresh captiv take snow white instead deliv forgett lacklust film fan origin like leav disappoint long charm artistri made classic masterpiec,0.8271,0.133,0.103,0.765,Positive
"Saw this at the cinema with my six-year-old daughter. She laughed at a few scenes but whispered, ""this is boring"" about forty five minutes in. Watched the rest but we were both happy when the movie ended.

For me, the CGI was distractingly bad. I wasn't aware of the issues the film had with casting prior to the release but they should have either gone with actual actors or spent more money. It's worse than you think, and it's not just the dwarves, the forest and other scenes are poorly done.

A couple of the songs were catchy but by that point I just wanted the credits to roll. Acting wise, I guess the actors had to work with what they were given, but they seemed disconnected and going through the motions. Snow white's lines sounded forced and uncommitted. A better actor might have played the role more believably but again, she had to work with what she was given. I think though, the original film had an innocence this actress didn't grasp or was unable to portray.

Really, this movie seemed more like a 'direct to video' movie than a large budget Disney production. I've seen better CGI in small budget television shows and far better acting. Maybe miss this one unless your little ones really want to see it. Even then, maybe wait for it to be free on a streaming service. It's just not worth paying to see.",1/10,saw cinema daughter laugh scene whisper bore forti five minut watch rest happi movi end cgi distractingli bad awar issu film cast prior releas either gone actual actor spent money wors think dwarf forest scene poorli done coupl song catchi point want credit roll act wise guess actor work given seem disconnect go motion snow white line sound forc uncommit better actor might play role believ work given think though origin film innoc actress grasp unabl portray realli movi seem like video movi larg budget disney product seen better cgi small budget televis show far better act mayb miss one unless littl one realli want see even mayb wait free stream servic worth pay see,0.9648,0.222,0.062,0.716,Positive
"Snow White remake set out to modernize the classic fairy tale, but it ultimately leaves audiences disappointed. The film fails to stay true to the original story while also struggling to establish its own identity.

First and foremost, the lifeless script is a major issue. The characters lack depth, the dialogues feel artificial, and there's no emotional connection with the audience. Key elements of the fairy tale have been altered, but rather than making the story more engaging, these changes strip it of its essence.

The performances aren't particularly impressive either. Rachel Zegler's portrayal of Snow White lacks charisma and inspiration, making the character feel ordinary and at times even unlikable. Additionally, the characters replacing the seven dwarfs are weakly designed and serve no meaningful purpose in the story.

When it comes to visuals and production quality, the film is shockingly mediocre for a Disney production. The CGI looks cheap, backgrounds feel artificial, and instead of creating a magical atmosphere, the movie ends up looking dull and uninspired.

Ultimately, this film feels like Disney turning its back on its own legacy. It doesn't come across as a loving modernization of a beloved classic but rather a project driven by political correctness with little artistic vision. The result? A failed adaptation that neither satisfies old fans nor captivates new audiences.

Another remake where Disney continues to kill the magic of its classic animations...",1/10,snow white remak set modern classic fairi tale ultim leaf audienc disappoint film fail stay true origin stori also struggl establish ident first foremost lifeless script major issu charact lack depth dialogu feel artifici emot connect audienc key element fairi tale alter rather make stori engag chang strip essenc perform particularli impress either rachel zegler portray snow white lack charisma inspir make charact feel ordinari time even unlik addit charact replac seven dwarf weakli design serv meaning purpos stori come visual product qualiti film shockingli mediocr disney product cgi look cheap background feel artifici instead creat magic atmospher movi end look dull uninspir ultim film feel like disney turn back legaci come across love modern belov classic rather project driven polit correct littl artist vision result fail adapt neither satisfi old fan captiv new audienc anoth remak disney continu kill magic classic anim,-0.8505,0.086,0.141,0.774,Negative
"Disney's Snow White (2025) is yet another misguided attempt to modernize a classic, but instead of breathing new life into the beloved fairy tale, it strips away everything that made the original special. With uninspired performances, weak visuals, and forgettable music, this film serves as a prime example of why not every animated masterpiece needs a live-action remake.

Rachel Zegler: A Snow White Lacking Charm Casting Rachel Zegler as Snow White seemed like an interesting choice, but unfortunately, her performance falls flat. While her singing ability is undeniable, her acting lacks the warmth and innocence that defined the character. Instead of a sweet and kindhearted princess, this Snow White comes across as distant, and at times, even uninterested in the story unfolding around her. Her line delivery feels forced, and there's little emotional connection between her and the world she's supposed to inhabit.

Dull Visuals & Poor CGI Disney is known for its stunning animation and groundbreaking CGI, but Snow White (2025) somehow manages to look cheap and unpolished. The enchanted forest, which should have been lush and magical, looks like an over-processed video game backdrop. The CGI dwarfs, which already sparked controversy before release, look awkward and unnatural, making it even harder to connect with them emotionally. Rather than immersing the audience in a fantasy world, the visuals constantly pull you out of the experience.

Music: A Forgettable Soundtrack The one highlight of the film is Zegler's singing, but even that can't save the uninspired and generic new songs. Unlike Disney's previous live-action adaptations, which at least attempted to reimagine classic melodies, Snow White (2025) fails to create any memorable musical moments. The new songs lack the magic of Someday My Prince Will Come or Heigh-Ho, leaving nothing that audiences will hum after leaving the theater.

Conclusion: Another Failed Remake Snow White (2025) is a textbook example of how not to remake a beloved film. Instead of enhancing the story, it strips away its charm and replaces it with a lifeless, forgettable adaptation. Disney had the chance to create something special, but what we got instead is yet another uninspired cash grab that fails to justify its existence. Fans of the original will likely leave the theater disappointed and frustrated, once again questioning why Disney insists on remaking its animated classics when the magic clearly isn't there.

Final Verdict: 2/10 - A dull, unnecessary remake. Just rewatch the original.",2/10,disney snow white yet anoth misguid attempt modern classic instead breath new life belov fairi tale strip away everyth made origin special uninspir perform weak visual forgett music film serf prime exampl everi anim masterpiec need remak rachel zegler snow white lack charm cast rachel zegler snow white seem like interest choic unfortun perform fall flat sing abil undeni act lack warmth innoc defin charact instead sweet kindheart princess snow white come across distant time even uninterest stori unfold around line deliveri feel forc littl emot connect world suppos inhabit dull visual poor cgi disney known stun anim groundbreak cgi snow white somehow manag look cheap unpolish enchant forest lush magic look like video game backdrop cgi dwarf alreadi spark controversi releas look awkward unnatur make even harder connect emot rather immers audienc fantasi world visual constantli pull experi music forgett soundtrack one highlight film zegler sing even ca save uninspir gener new song unlik disney previou adapt least attempt reimagin classic melodi snow white fail creat memor music moment new song lack magic someday princ come leav noth audienc hum leav theater conclus anoth fail remak snow white textbook exampl remak belov film instead enhanc stori strip away charm replac lifeless forgett adapt disney chanc creat someth special got instead yet anoth uninspir cash grab fail justifi exist fan origin like leav theater disappoint frustrat question disney insist remak anim classic magic clearli final verdict dull unnecessari remak rewatch origin,0.5574,0.135,0.116,0.749,Positive
"Putting aside of all the political controversy and discussions revolving around the film, if we focus this remake as itself, still, it is really unnecessary and quite dull.

Disney has continued to prove that live-action remakes of classic animated tales are getting tiresome and unoriginal. Besides The Jungle Book and Pete's Dragon remake being pretty good, the other remakes have remained dull, baffling, or offensive. Snow White is one of those dull ones. Covered with excessive usages of CGI and colors, the camerawork, production style and colors feel bloated and unsocial. Alongside with the bland direction, uninteresting takes of how they tell the tale and where the characters were once beloved in the animated movie, becomes lifeless and uninteresting here. The choice of using CGI dwarfs really was a bad idea because it came off as quite uncanny and unintentionally creepy to observe at times.

The performances....aren't very great. Rachel Zegler does give her best as she does have solid moments including some of the voice performances from the other cast. Gal Gadot, however, her performance really didn't work at all. Gadot lacks the emotion and creep charm to what the Evil Queen should have been.

Despite some good looking designs on the backgrounds and all, it was really boring. Marc Webb tries his best but unfortunately, really little about this would ever work.

Please, audiences, stop giving the remakes money because they are just as responsible for the remakes to keep existing.",2/10,put asid polit controversi discuss revolv around film focu remak still realli unnecessari quit dull disney continu prove remak classic anim tale get tiresom unorigin besid jungl book pete dragon remak pretti good remak remain dull baffl offens snow white one dull one cover excess usag cgi color camerawork product style color feel bloat unsoci alongsid bland direct uninterest take tell tale charact belov anim movi becom lifeless uninterest choic use cgi dwarf realli bad idea came quit uncanni unintent creepi observ time perform great rachel zegler give best solid moment includ voic perform cast gal gadot howev perform realli work gadot lack emot creep charm evil queen despit good look design background realli bore marc webb tri best unfortun realli littl would ever work pleas audienc stop give remak money respons remak keep exist,0.2732,0.137,0.136,0.727,Positive
"I attended the Snow White remake last Thursday with high hopes, only to find myself marooned in a sea of kitsch, cheap effects, and an utterly barren vision.

Marc Webb's direction could generously be described as a masterclass in mediocrity-an exercise in how not to reimagine a classic. His handling of the material was so devoid of creativity that even the most outlandish camp would have been an improvement.

The so-called seven dwarfs? They weren't authentic actors at all; instead, we were treated to a parade of CGI caricatures that failed to capture any semblance of charm. Their forced musical numbers were as out-of-place as a kazoo in a symphony-an entirely misguided attempt at infusing musical flair that only underscored the film's overall discordance.

Rachel Zegler's portrayal of Snow White was painfully bland, with a performance that vacillated between uninspired and downright wooden. And then there's Gal Gadot as the evil queen-her performance, marred by a haughty arrogance, was as unconvincing as it was theatrically misguided. The chemistry, or lack thereof, among the cast only amplified the film's deficiencies.

Every element-from the poor acting to the mismatched musical attempts-conspired to create an experience that was both artistically bankrupt and humorously tragic. It's astonishing how a project can simultaneously squander a beloved tale and insult the audience's intelligence.

Save your time, money, and sanity; this film is a stark reminder that not every retelling deserves a second chance.

A truly deplorable, negative experience in every sense.",1/10,attend snow white remak last thursday high hope find maroon sea kitsch cheap effect utterli barren vision marc webb direct could gener describ masterclass exercis reimagin classic handl materi devoid creativ even outlandish camp would improv seven dwarf authent actor instead treat parad cgi caricatur fail captur semblanc charm forc music number kazoo entir misguid attempt infus music flair underscor film overal discord rachel zegler portray snow white pain bland perform vacil uninspir downright wooden gal gadot evil perform mar haughti arrog unconvinc theatric misguid chemistri lack thereof among cast amplifi film defici everi poor act mismatch music creat experi artist bankrupt humor tragic astonish project simultan squander belov tale insult audienc intellig save time money saniti film stark remind everi retel deserv second chanc truli deplor neg experi everi sens,-0.936,0.105,0.181,0.714,Negative
"To be fair, I have thought a lot of this movie and found the conclusion that Disney does neither understand the old animated movies nor the original fairy tales.

If you do a twisted fairy tale movie, okay all right, then use a different name, as was done with Frozen or Tangled or ""Mirror, Mirror"" and whatever. Of course, Disney movies are always different, but there is a high responsibility as they are regarded as cultural representation, and as a German, I really want to talk about this controversy. All right, if you need to change the back story of the name Snow White, why not simply introduce a real name. Dwarfs in fairy tales are of course not the same as people with dwarfism, and so the CGI idea with also introducing a human actor with dwarfism (with even a heroic task) could have worked, but removing simply the word dwarf does not help. How odd, as usually Disney is so careful of historical accuracy, there is silence about the obvious German connotations of both 1937 movie and the original tale. Although the love story with a guy called Jonathan is more contemporary elaborated than the insta-meet-cute with her prince, it can not evoke the same emotions as the 1937 movie. CGI animals are cute, but seriously? Snow was already in 1937 a leading lady and strong character, but Walt Disney decided to focus on a decision for love instead of power or ambition, so the political-moral connotations in this new movie are rather more backwarded than they actually are thinking. Although going the safe way with keeping definitely surprisingly many things intact from the 1937 movie, even with an old-fashioned fairy tale book opening and taking something from Cinderella live action - with amazing brightness and cheerfulness, it soon goes away from the old story into a world of reimagining. It makes me think of ""Mirror, Mirror"" with touch of the Disney Robin Hood and Tangled movies (and a bit of the German Simsala Grimm Schneewittchen version!), yet failing to showcase the kindness Snowy is constantly talking about. There could have made better use of the original tales (Brothers Grimm, but also tradition of Ludwig Bechstein, Johann Musäus and Ludwig Albert Grimm). Never much exploring the original characters, but somehow throwing in Jonathan's seven bandits as MIRRORED version to the dwarfs (these were the first version leaked, which turns out not to be the 7 ""dwarfs"",which is a good attempt to keep up a mirror structure of the main Disney couple), but so random named (Bingley?? Norwich??? Why???). Anyway, the music is charming, but reminds with ""let go, let glow"" too much of you know what I mean, also such like a reminiscence ""Waiting on a Miracle"" from Encanto. The spectacular musical scenes are very good, but a big contrast to the quiet cottage-core feeling of the 1937 movie In fact, it's a twisted remix, just like a rock/pop version of a music piece by Mozart. It might be worth as an idea offering enjoyable moments and tunes, but considering it as improvement is insane. Just like Enchanted was already a reimagining of Snow White, this is also another one and should be called in my opinion perhaps ""Mirrored"". An interesting advertisement campaign for the old movie and related products through reverse psychology. Particularly, too many mixed ideas. ""Strong independent"" - but princess -, still not as daring as in Mirror, Mirror, here in a child costume advertisement spot, and let's not forget that girl empowerment does not work this way with an anachronistic understanding of monarchy (Disney Queen franchise?), and let us simply dream, not be lessoned...",1/10,fair thought lot movi found conclus disney neither understand old anim movi origin fairi tale twist fairi tale movi okay right use differ name done frozen tangl mirror mirror whatev cours disney movi alway differ high respons regard cultur represent german realli want talk controversi right need chang back stori name snow white simpli introduc real name dwarf fairi tale cours peopl dwarfism cgi idea also introduc human actor dwarfism even heroic task could work remov simpli word dwarf help odd usual disney care histor accuraci silenc obviou german connot movi origin tale although love stori guy call jonathan contemporari elabor princ evok emot movi cgi anim cute serious snow alreadi lead ladi strong charact walt disney decid focu decis love instead power ambit connot new movi rather backward actual think although go safe way keep definit surprisingli mani thing intact movi even fairi tale book open take someth cinderella live action amaz bright cheer soon go away old stori world reimagin make think mirror mirror touch disney robin hood tangl movi bit german simsala grimm schneewittchen version yet fail showcas kind snowi constantli talk could made better use origin tale brother grimm also tradit ludwig bechstein johann musäu ludwig albert grimm never much explor origin charact somehow throw jonathan seven bandit mirror version dwarf first version leak turn dwarf good attempt keep mirror structur main disney coupl random name bingley norwich anyway music charm remind let go let glow much know mean also like reminisc wait miracl encanto spectacular music scene good big contrast quiet feel movi fact twist remix like version music piec mozart might worth idea offer enjoy moment tune consid improv insan like enchant alreadi reimagin snow white also anoth one call opinion perhap mirror interest advertis campaign old movi relat product revers psycholog particularli mani mix idea strong independ princess still dare mirror mirror child costum advertis spot let forget girl empower work way anachronist understand monarchi disney queen franchis let u simpli dream lesson,0.9959,0.198,0.03,0.772,Positive
"Save your money. This is a pathetic attempt at modernizing a classic film, that takes away everything that made it a classic; its charm, beauty, kindness, warmth. The outfits look gaudy and out of place, as if her dress was overly saturated. Snow White was bossy and had none of the qualities that made the original Snow White so enchanting - her kindness, femininity and love-of-all creatures, big or small.

It was choppy, hard to follow, rushed in some parts where it mattered (like for character development) and seemed to struggle with basically making an entirely different movie, while simultaneously trying to stand on the original film's shoulders as giants.",,save money pathet attempt modern classic film take away everyth made classic charm beauti kind warmth outfit look gaudi place dress overli satur snow white bossi none qualiti made origin snow white enchant kind feminin creatur big small choppi hard follow rush part matter like charact develop seem struggl basic make entir differ movi simultan tri stand origin film shoulder giant,0.9509,0.262,0.019,0.719,Positive
